header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
5s_Perinereis-brevicirris-1,84.75,14.22,68.20,59.19
5s_Lytechinus-variegatus-1,83.98,5.94,47.13,54.68
5s_Gallus-gallus-2,72.67,1.00,61.60,14.07
5s_Gallus-gallus-1,68.80,0.30,65.53,4.17
5s_Taphrina-deformans-1,62.97,17.86,58.02,58.54
5s_Andrias-japonicus-1,60.36,20.29,62.38,58.85
5s_Scyliorhinus-canicula-1,59.51,5.13,49.40,25.50
5s_Moniliella-acetoabutans-1,58.42,4.00,64.82,5.62
5s_Bos-taurus-1,57.56,4.03,60.68,8.98
5s_Homo-sapiens-1,57.56,4.03,60.68,8.98
5s_Mus-musculus-1,57.56,4.03,60.68,8.98
5s_Oryctolagus-cuniculus-1,57.56,4.03,60.68,8.98
5s_Rattus-norvegicus-1,57.56,4.03,60.68,8.98
5s_Lycoperdon-pyriforme-1,55.21,19.28,47.27,65.78
5s_Buchnera-aphidicola-1,53.50,3.66,45.60,18.88
5s_Chlorobium-phaeobacteroides-1,47.70,18.00,61.49,40.21
5s_Bufo-americanus-1,46.66,4.86,52.93,8.31
5s_Pinus-silvestris-1,46.22,4.64,54.80,5.34
5s_Methanothermobacter-thermautotrophicus-2,45.11,26.68,72.01,53.14
5s_Colwellia-hadaliensis-1,42.27,16.00,41.15,49.12
5s_Notophthalmus-viridescens-1,42.18,7.21,55.14,8.66
5s_Xylella-fastidiosa-1,41.21,9.90,62.90,8.02
5s_Acetobacter-sp.-1,40.24,5.27,37.78,18.28
5s_Corynebacterium-xerosis-1,39.61,2.00,39.71,5.90
5s_Pseudomonas-syringae-2,38.51,14.13,35.38,45.52
5s_Plasmodium-falciparum-1,37.87,6.04,24.93,31.06
5s_Thraustochytrium-visurgense-1,37.68,6.00,48.49,7.19
5s_Blastocladiella-simplex-1,37.64,2.00,39.63,4.01
5s_Spirogyra-sp.-1,36.74,22.78,56.92,48.17
5s_Protomyces-inundatus-1,35.26,19.04,57.98,34.39
5s_Bacillus-licheniformis-6,35.20,15.38,39.38,41.96
5s_Lineus-geniculatus-1,34.87,5.33,47.24,3.63
5s_Fusarium-asiaticum-5,34.39,4.00,25.73,20.66
5s_Fusarium-cerealis-6,34.39,4.00,25.73,20.66
5s_Fusarium-culmorum-8,34.39,4.00,25.73,20.66
5s_Fusarium-lunulosporum-9,34.39,4.00,25.73,20.66
5s_Fusarium-pseudograminearum-6,34.39,4.00,25.73,20.66
5s_Fusarium-sporotrichioides-5,34.39,4.00,25.73,20.66
5s_Pinus-contorta-1,34.24,4.12,41.24,5.34
5s_Methanothermobacter-thermautotrophicus-4,33.85,3.53,37.44,7.01
5s_Bacillus-licheniformis-2,32.97,16.31,39.92,41.98
5s_Xenopus-borealis-4,32.83,7.91,49.19,7.36
5s_Xenopus-laevis-1,32.83,7.91,49.19,7.36
5s_Meloidogyne-artiellia-1,32.46,9.58,47.70,13.51
5s_Corynebacterium-xerosis-2,32.46,2.00,32.62,5.84
5s_Fusarium-lunulosporum-6,32.36,4.00,23.79,20.57
5s_Candida-melibiosica-1,32.30,10.54,54.39,9.54
5s_Vibrio-cholerae-1,32.29,10.00,48.50,13.79
5s_Methylophilus-methylotrophus-1,32.20,2.22,35.68,3.19
5s_Euplotes-aediculatus-1,31.91,5.13,28.72,18.58
5s_Acidithiobacillus-thiooxidans-1,30.91,0.00,28.10,2.81
5s_Wuchereria-bancrofti-1,30.69,4.11,26.57,16.47
5s_Agaricus-edulis-1,30.41,13.10,64.08,5.62
5s_Caenorhabditis-elegans-3,29.98,16.61,19.41,60.38
5s_Cycas-revoluta-1,29.57,13.15,57.48,11.55
5s_Tetrahymena-thermophila-3,29.54,7.05,41.59,9.11
