header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
tmRNA_envi.sequ._TRW-356-1_1-289,-53.46,71.57,95.31,65.96
tmRNA_Azoa.spec._TRW-62928_1-378,-69.18,135.17,173.54,162.81
tmRNA_Fuso.nucl._TRW-393480_1-344,-88.67,122.66,131.57,147.73
tmRNA_Acid.caps._TRW-240015_1-352,-100.37,121.23,136.80,126.52
tmRNA_Leuc.mese._AF375574_1-307,-120.92,120.68,121.83,119.28
tmRNA_Rals.meta._CP000352_1-360,-145.85,140.02,145.72,128.49
tmRNA_Kine.radi._TRW-266940_1-366,-147.71,142.13,146.10,132.59
tmRNA_Acid.ferr._TRW-133824_1-364,-159.95,141.94,138.95,126.93
tmRNA_Aero.hydr._AY442269_1-360,-160.84,135.95,122.36,124.66
tmRNA_Stre.pyog._AE006568_1-345,-162.02,114.07,108.38,71.81
tmRNA_Acti.naes._TRW-240017_1-371,-177.70,136.85,127.96,104.88
tmRNA_Phot.asym._TRW-291112_1-364,-180.53,149.01,149.02,117.49
tmRNA_List.mono._TRW-1639-1_1-370,-186.19,133.97,124.27,91.43
