header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
5s_Perinereis-brevicirris-1,89.57,12.66,68.37,59.19
5s_Lytechinus-variegatus-1,72.66,8.75,44.24,54.68
5s_Iguana-iguana-1,72.14,8.28,56.63,40.35
5s_Gallus-gallus-2,70.39,1.00,59.32,14.07
5s_Bursaphelenchus-xylophilus-1,67.71,13.51,52.56,55.69
5s_Gallus-gallus-1,66.50,0.31,63.26,4.17
5s_Streptococcus-agalactiae-1,63.82,8.94,43.53,47.10
5s_Streptococcus-agalactiae-2,63.82,8.94,43.53,47.10
5s_Lycoperdon-pyriforme-1,57.99,17.61,45.05,65.78
5s_Bos-taurus-1,48.32,5.80,56.74,8.98
5s_Homo-sapiens-1,48.32,5.80,56.74,8.98
5s_Mus-musculus-1,48.32,5.80,56.74,8.98
5s_Oryctolagus-cuniculus-1,48.32,5.80,56.74,8.98
5s_Rattus-norvegicus-1,48.32,5.80,56.74,8.98
5s_Taphrina-deformans-1,47.85,22.96,58.17,58.54
5s_Acetobacter-sp.-1,47.60,0.05,29.48,18.28
5s_Bufo-americanus-1,47.27,6.25,57.72,8.31
5s_Buchnera-aphidicola-1,46.20,6.05,45.46,18.88
5s_Xylella-fastidiosa-1,46.05,0.76,40.33,8.02
5s_Wigglesworthia-glossinidia-1,44.55,7.45,28.86,38.03
5s_Colwellia-hadaliensis-1,43.56,16.00,42.44,49.12
5s_Blastocladiella-simplex-1,42.60,2.00,44.60,4.01
5s_Lineus-geniculatus-1,41.53,3.19,47.47,3.63
5s_Illex-illecebrosus-1,41.12,21.58,50.42,55.43
5s_Andrias-japonicus-1,40.31,27.54,64.08,58.85
5s_Methylomicrobium-clara-1,39.68,6.11,54.80,3.21
5s_Chlorobium-phaeobacteroides-1,39.47,18.39,54.42,40.21
5s_Pseudomonas-syringae-2,38.13,14.13,35.00,45.52
5s_Tetrahymena-pyriformis-1,37.05,7.01,48.97,9.11
5s_Methanothermobacter-thermautotrophicus-2,35.90,29.41,70.98,53.14
5s_Plasmodium-falciparum-1,34.15,6.04,21.22,31.06
5s_Tilletia-controversa-1,33.77,4.89,42.83,5.62
5s_Pseudomonas-syringae-3,33.72,13.12,17.76,55.31
5s_Moniliella-acetoabutans-1,33.70,6.35,47.12,5.62
5s_Tetrahymena-thermophila-3,32.80,7.19,45.27,9.11
5s_Nitella-flexilis-1,32.77,30.10,61.50,61.58
5s_Fusarium-asiaticum-5,32.40,4.04,23.86,20.66
5s_Fusarium-cerealis-6,32.40,4.04,23.86,20.66
5s_Fusarium-culmorum-8,32.40,4.04,23.86,20.66
5s_Fusarium-lunulosporum-9,32.40,4.04,23.86,20.66
5s_Fusarium-pseudograminearum-6,32.40,4.04,23.86,20.66
5s_Fusarium-sporotrichioides-5,32.40,4.04,23.86,20.66
5s_Fusarium-lunulosporum-6,32.26,4.04,23.82,20.57
5s_Acidithiobacillus-thiooxidans-1,30.89,0.37,29.19,2.81
