1/50, srp_Aspe.clav._GSP-344612
2/50, srp_Aspe.nidu._GSP-227321
3/50, srp_Aspe.oryz._AP007169
4/50, srp_Baci.alca._D11422
5/50, srp_Baci.brev._D14472
6/50, srp_Baci.cere._CP000764
7/50, srp_Baci.pumi._D11415
8/50, srp_Baci.subt._D26185
9/50, srp_Baci.subt._Z99104
10/50, srp_Caen.eleg._U41993
11/50, srp_Caen.rema._GSP-31234
12/50, srp_Cion.inte._BW223536
13/50, srp_Cion.savi._BW551179
14/50, srp_Clos.acet._AE001437
15/50, srp_Clos.beij._CP000721
16/50, srp_Clos.botu._CP000728
17/50, srp_Clos.kluy._CP000673
18/50, srp_Clos.teta._AE015927
19/50, srp_Cryp.parv._XM_626716
20/50, srp_Dani.reri._BX649540
21/50, srp_Dani.rrer._CR925739
22/50, srp_Dros.mela._AC002512
23/50, srp_Dros.mela._AE014297
24/50, srp_Enta.terr._GSP-110771
25/50, srp_Gall.gall._AB073218
26/50, srp_Geob.ther._CP000557
27/50, srp_Homo.sapi._BF908767
28/50, srp_Homo.sapi._M20910
29/50, srp_Humu.lupu._AJ236703
30/50, srp_Humu.lupu._AJ236706
31/50, srp_Leis.majo._SDB-347515
32/50, srp_Lyco.escu._Z29110
33/50, srp_Medi.trun._AC136507-1
34/50, srp_Medi.trun._BE941271
35/50, srp_Neos.fisc._GSP-331117
36/50, srp_Pich.guil._GSP-294746
37/50, srp_Schi.japo._GSP-402676
38/50, srp_Schi.pomb._X15220
39/50, srp_Schm.medi._GSP-79327
40/50, srp_Scle.scle._GSP-325569
41/50, srp_Stap.aure._CP000255
42/50, srp_Tetr.nigr._GSP-99883
43/50, srp_Trit.aest._BQ167677
44/50, srp_Trit.aest._CJ679223
45/50, srp_Tryp.bruc._AF047723
46/50, srp_Tryp.bruc._M80262
47/50, srp_Volv.cart._GSP-51971-1
48/50, srp_Yarr.lipo._CR382130
49/50, srp_Zea.mays._AY108846
50/50, srp_Zygo.roux._BN000170
