header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
srp_Rick.feli._CP000053,58.16,2.34,60.62,4.56
srp_Wolb.endo._AE017259,55.29,0.01,53.98,1.34
srp_Xant.camp._AE012197,41.40,5.30,53.72,3.60
srp_Xant.camp._DQ256493,41.14,5.30,53.46,3.60
srp_Xyle.fast._AE003940,41.14,5.30,53.46,3.60
srp_Myco.myco._BX293980,32.65,9.72,43.52,18.28
srp_Myco.myco._BX842642,32.65,9.72,43.52,18.28
srp_Nitr.euro._AL954747,30.72,5.00,38.44,7.29
srp_Acin.spec._CR543861,29.12,0.12,19.33,10.14
srp_Stap.sapr._AP008934,27.24,5.00,29.06,13.18
srp_Neis.meni._AE002098,26.85,8.35,43.73,8.18
srp_Neis.gono._AF482014,26.85,2.01,26.74,6.14
srp_Neph.oliv._AF137379,24.90,0.04,23.27,1.76
srp_Myco.hyop._AE017244,24.44,8.00,37.02,11.41
srp_Ente.faec._AE016953,24.18,10.32,43.35,11.78
srp_Gloe.viol._BA000045,23.15,6.08,31.20,10.18
srp_Sali.trop._CP000667,22.54,9.17,36.65,13.39
srp_Wolb.endo._AE017196,22.17,0.05,15.32,7.02
srp_Chlo.tepi._AE006470,21.55,14.75,50.08,15.73
srp_Neis.meni._DD001104,20.03,9.03,39.15,7.97
srp_Para.symb._BX908798,19.90,0.00,18.58,1.32
srp_Rhod.balt._BX294144,18.81,18.81,44.27,30.98
srp_Bart.hens._BX897699,18.53,23.12,40.49,47.39
srp_Burk.mall._CP000526,18.50,9.84,40.74,7.28
srp_Burk.mall._CP000548,18.50,9.84,40.74,7.28
srp_Bifi.long._AX492782,18.33,10.03,36.19,12.24
srp_Heli.annu._AJ828095,17.18,2.05,2.36,20.98
srp_Stre.livi._AY081854,16.52,7.95,37.67,2.70
srp_Stre.dysg._AJ489606,16.32,11.00,37.37,11.96
srp_Neis.meni._AM421808,15.55,17.52,62.95,5.18
srp_Heli.pylo._AE001439,14.59,10.00,33.24,11.36
srp_Rals.sola._AL646063,14.50,17.96,60.89,7.49
srp_Desu.vulg._AE017311,12.92,8.78,33.87,5.38
srp_Pseu.syri._CP000058,12.82,3.00,13.80,8.02
srp_Lact.plan._AL935253,12.57,10.60,32.07,12.31
srp_Leis.aeth._AY722731,11.70,23.00,56.48,24.22
srp_Leis.aeth._AY722732,11.70,23.00,56.48,24.22
srp_Stre.pyog._CP000262,11.29,6.00,21.95,7.34
srp_Cyan.cald._AF022186,10.98,0.90,10.66,3.01
srp_Cory.glut._BX927148,10.53,11.54,32.61,12.55
srp_Stap.aure._AC025951,10.20,5.00,7.65,17.55
srp_Stap.aure._AF368293,10.20,5.00,7.65,17.55
srp_Stap.aure._BA000017,10.20,5.00,7.65,17.55
srp_Stap.aure._BA000018,10.20,5.00,7.65,17.55
srp_Stap.aure._BA000033,10.20,5.00,7.65,17.55
srp_Stap.aure._BX571856,10.20,5.00,7.65,17.55
srp_Stap.aure._BX571857,10.20,5.00,7.65,17.55
srp_Stap.aure._CP000046,10.20,5.00,7.65,17.55
srp_Dich.nodo._CP000513,8.41,13.05,34.06,13.48
srp_Myco.smeg._CP000480,8.37,9.16,28.67,7.19
srp_Kine.radi._CP000750,6.34,9.70,11.16,24.27
srp_Sacc.eryt._AM420293,6.34,9.70,11.16,24.27
srp_Shew.balt._CP000753,5.94,31.56,48.45,52.17
srp_Myco.pneu._S76009,5.49,3.00,9.21,5.28
srp_Ente.faec._AE016830,5.05,14.61,40.84,8.02
srp_Ente.faec._BD193435,5.05,14.61,40.84,8.02
srp_Lact.lact._AE006305,4.91,5.93,11.60,11.11
srp_Ehrl.cani._CP000107,4.87,2.00,2.00,8.87
srp_Heli.exil._EE659686,4.19,10.02,0.36,33.89
srp_Rals.eutr._CP000090,3.65,18.40,51.36,7.49
srp_Myco.geni._U39706,3.42,2.00,2.01,7.41
srp_Chlo.vulg._AB001684,3.33,0.00,2.10,1.23
srp_Anab.vari._CP000117,3.21,24.96,60.44,17.64
srp_Stre.pyog._AM295007,3.15,2.37,1.55,8.70
srp_Rick.cono._AE008680,2.95,0.00,0.01,2.95
srp_Geob.uran._CP000698,2.94,0.49,1.98,2.42
srp_Fran.tula._AM286280,2.89,3.01,7.43,4.51
srp_Heli.pylo._AE000524,2.56,2.00,5.16,3.41
srp_Schi.pomb._AU010514,2.45,0.00,0.00,2.46
