header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
telomerase_AF221920.99-541,-135.30,172.74,206.84,176.08
telomerase_AY058901.1-397,-244.53,199.85,182.78,172.23
telomerase_AF221928.95-476,-257.87,195.02,198.96,128.22
telomerase_AF221916.94-481,-259.57,188.00,175.61,128.81
telomerase_AY312571.605-1069,-292.01,246.78,244.11,204.23
telomerase_AF221937.99-545,-299.30,222.53,220.96,147.34
telomerase_AF221925.98-540,-305.11,213.37,197.56,137.45
telomerase_AF147806.247-692,-326.22,238.12,212.02,176.12
telomerase_AC121792.109554-109950,-331.98,212.88,173.64,133.01
telomerase_U85256.1-451,-354.71,233.21,245.34,99.59
telomerase_AF221933.121-679,-376.81,307.04,274.95,269.35
