header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
grp1_a.I1.m.M.grisea.B2.ND1,20.07,46.32,73.99,85.05
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1046,9.14,52.99,93.61,74.49
grp1_a.I1.e.S.paniceum.UNK.SSU.287,3.04,50.95,87.29,68.59
grp1_a.I1.e.C.grayi.UNK.SSU.1046,0.45,44.18,62.78,70.22
grp1_a.I1.b.Dermocarpa.sp.ATCC29371.C3.tMET,-10.77,44.46,78.81,43.81
grp1_a.I1.b.S.hofmanii.C3.tMET,-12.50,30.93,48.89,31.39
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1210,-19.16,55.13,64.97,81.25
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1389,-27.72,39.00,61.42,27.87
grp1_a.I1.e.L.dispersa.UNK.SSU.1046,-35.76,80.24,113.78,91.19
grp1_a.I1.e.S.paniceum.UNK.SSU.114,-46.51,32.39,30.85,19.81
grp1_a.I1.e.L.dispersa.UNK.SSU.1516,-48.97,66.52,72.74,77.85
grp1_a.I1.b.Synechococcus.sp2.C3.tLEU,-66.25,46.62,51.79,21.81
grp1_a.I1.e.S.paniceum.UNK.SSU.1052,-76.84,66.94,64.22,59.76
grp1_a.I1.e.L.dispersa.UNK.SSU.114,-77.46,71.50,77.82,59.21
grp1_a.I1.e.L.dispersa.UNK.SSU.287,-77.46,113.84,125.50,138.55
grp1_a.I1.b.Phormidium.sp.N182.C3.tLEU,-95.98,86.01,82.96,79.08
grp1_a.I1.e.L.dispersa.UNK.SSU.789,-103.65,92.19,89.85,83.08
grp1_a.I1.e.L.dispersa.UNK.SSU.1210,-106.86,90.92,83.63,82.26
grp1_a.I1.e.C.merochlorophea.UNK.SSU.1516,-120.37,110.06,103.60,106.20
grp1_a.I1.e.S.paniceum.UNK.SSU.1506,-122.10,72.55,54.96,40.60
grp1_a.I1.e.S.paniceum.UNK.SSU.1210,-149.72,95.86,72.39,65.45
