header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
RNaseP_Z.bailii,10.75,21.39,62.10,12.83
RNaseP_H.chlorum-partial,-2.82,26.05,36.09,39.24
RNaseP_K.thermotolerans,-14.09,35.86,62.06,31.44
RNaseP_M.fervidus,-23.61,54.87,80.23,60.75
RNaseP_S.unisporus,-23.82,33.34,61.31,14.88
RNaseP_P.guilliermondii,-28.70,14.39,11.96,2.50
RNaseP_M.maripaludus,-32.99,56.47,83.82,52.60
RNaseP_C.pecorum-IPA,-33.92,53.94,69.34,58.56
RNaseP_S.negevensis,-33.92,53.94,69.34,58.56
RNaseP_P.mississippiensis,-39.63,51.12,63.43,50.31
RNaseP_C.opuntiae,-43.89,48.67,75.83,26.27
RNaseP_B.bronchiseptica,-67.99,48.14,64.68,11.73
RNaseP_W.fluorescens,-90.73,55.53,66.22,9.63
RNaseP_M.thermolithotrophicus,-132.82,85.49,75.65,48.00
RNaseP_SLC,-133.79,94.78,81.10,69.45
RNaseP_S.servazzii,-135.88,82.49,75.43,36.17
RNaseP_A.fulgidus,-142.56,94.70,98.65,42.89
RNaseP_T.thioparus,-144.18,114.03,121.29,76.60
RNaseP_S.fibuligera,-162.15,84.89,57.93,34.61
RNaseP_M.vannielli,-162.75,105.27,98.94,54.11
