header,score,dist_natc_tend,dist_natc_tend_rev,dist_natc_subopt
srp_Rick.feli._CP000053,59.41,2.06,61.03,4.56
srp_Wolb.endo._AE017259,55.29,0.01,53.98,1.34
srp_Xant.camp._DQ256493,47.22,4.18,56.15,3.60
srp_Xyle.fast._AE003940,47.22,4.18,56.15,3.60
srp_Xant.camp._AE012197,45.26,4.18,54.20,3.60
srp_Bart.hens._BX897699,45.12,17.62,50.60,47.39
srp_Spra.loph._GSP-51541,43.28,21.72,49.37,59.07
srp_Neis.gono._AF482014,42.05,2.01,41.93,6.14
srp_Neis.meni._DD001104,33.92,9.42,54.21,7.97
srp_Heli.exil._EE659686,32.79,0.49,0.36,33.89
srp_Myco.myco._BX293980,32.65,9.72,43.52,18.28
srp_Myco.myco._BX842642,32.65,9.72,43.52,18.28
srp_Nitr.euro._BX321857,29.87,2.72,33.50,4.52
srp_Acin.spec._CR543861,29.16,0.10,19.33,10.14
srp_Burk.mall._CP000526,26.88,11.26,53.39,7.28
srp_Burk.mall._CP000548,26.88,11.26,53.39,7.28
srp_Myco.hyop._AE017244,26.39,8.00,38.98,11.41
srp_Stap.sapr._AP008934,26.00,5.00,27.82,13.18
srp_Rhod.balt._BX294144,23.96,17.23,44.66,30.98
srp_Ente.faec._AE016953,23.77,10.46,43.35,11.78
srp_Neph.oliv._AF137379,23.55,0.00,21.79,1.76
srp_Past.mult._AE006092,22.13,2.00,20.74,7.39
srp_Para.symb._BX908798,21.79,0.00,20.48,1.32
srp_Cory.glut._BX927148,20.38,9.06,35.02,12.55
srp_Nitr.euro._AL954747,20.33,8.00,37.04,7.29
srp_Ente.faec._AE016830,19.57,8.98,38.50,8.02
srp_Ente.faec._BD193435,19.57,8.98,38.50,8.02
srp_Leis.aeth._AY722731,19.27,23.00,64.05,24.22
srp_Leis.aeth._AY722732,19.27,23.00,64.05,24.22
srp_Chlo.tepi._AE006470,18.73,14.49,46.47,15.73
srp_Heli.annu._AJ828095,17.21,2.04,2.36,20.98
srp_Gloe.viol._BA000045,17.13,6.08,25.18,10.18
srp_Desu.vulg._AE017311,17.02,7.45,34.00,5.38
srp_Stre.dysg._AJ489606,16.32,11.00,37.37,11.96
srp_Rals.sola._AL646063,15.18,18.32,62.65,7.49
srp_Proc.mari._BX572093,14.88,7.40,22.46,14.63
srp_Lact.case._CP000423,14.34,10.16,36.00,8.81
srp_Neis.meni._AM421808,13.88,15.31,54.64,5.18
srp_Pseu.syri._CP000058,12.84,3.00,13.81,8.02
srp_Kine.radi._CP000750,12.24,7.72,11.12,24.27
srp_Sacc.eryt._AM420293,12.24,7.72,11.12,24.27
srp_Cyan.cald._AF022186,12.01,0.90,11.69,3.01
srp_Coxi.burn._CP000733,10.43,3.00,12.03,7.39
srp_Stap.aure._AC025951,10.17,5.00,7.62,17.55
srp_Stap.aure._AF368293,10.17,5.00,7.62,17.55
srp_Stap.aure._BA000017,10.17,5.00,7.62,17.55
srp_Stap.aure._BA000018,10.17,5.00,7.62,17.55
srp_Stap.aure._BA000033,10.17,5.00,7.62,17.55
srp_Stap.aure._BX571856,10.17,5.00,7.62,17.55
srp_Stap.aure._BX571857,10.17,5.00,7.62,17.55
srp_Stap.aure._CP000046,10.17,5.00,7.62,17.55
srp_Haem.ducr._AE017154,10.08,8.13,26.66,7.81
srp_Haem.infl._U32795,10.08,8.13,26.66,7.81
srp_Legi.pneu._CP000675,10.08,8.13,26.66,7.81
srp_Stre.pyog._CP000262,10.06,6.00,20.72,7.34
srp_Vibr.chol._AE003852,10.01,4.00,18.04,3.97
srp_Dich.nodo._CP000513,8.48,13.05,34.13,13.48
srp_Wolb.endo._AE017196,6.91,0.05,0.06,7.02
srp_Myco.pneu._S76009,6.74,3.00,10.46,5.28
srp_Shew.balt._CP000753,6.66,31.52,49.04,52.17
srp_Lact.lact._AE006305,5.85,5.61,11.56,11.11
srp_Bifi.long._AX492782,5.34,9.75,22.34,12.24
srp_Ehrl.cani._CP000107,4.87,2.00,2.00,8.87
srp_Legi.pneu._AE017354,4.86,4.55,9.95,8.56
srp_Legi.pneu._M31830,4.86,4.55,9.95,8.56
srp_Stre.pyog._AM295007,4.17,1.51,0.00,8.70
srp_Myco.geni._U39706,3.41,2.00,2.00,7.41
srp_Chlo.vulg._AB001684,3.33,0.00,2.10,1.23
srp_Rick.cono._AE008680,2.95,0.00,0.01,2.95
srp_Geob.uran._CP000698,2.94,0.49,1.98,2.42
srp_Desu.vulg._AE017285,2.89,22.15,49.00,20.33
srp_Myco.gall._AE015450,2.70,6.00,13.09,7.62
srp_Schi.pomb._AU010514,2.45,0.00,0.00,2.46
srp_Trep.dent._AE017226,1.95,24.00,49.44,24.51
srp_Meth.vann._CP000742,1.87,0.00,0.00,1.87
srp_Erwi.caro._BX950851,1.67,0.16,0.87,1.28
srp_Baci.subt._X06803,0.94,0.00,0.00,0.94
srp_Baci.amyl._CP000560,0.87,0.00,0.00,0.87
srp_List.wels._AM263198,0.87,0.00,0.00,0.87
srp_Yers.ente._AM286415,0.80,20.00,38.09,22.71
srp_Sali.trop._CP000667,0.68,9.03,14.39,13.39
srp_Neis.meni._AE002098,0.63,8.26,17.24,8.18
srp_Myco.geni._BD439871,0.41,6.00,11.60,6.81
srp_Heli.pylo._AE000524,0.39,2.00,3.00,3.41
srp_Camp.jeju._AL139074,0.27,0.00,0.00,0.27
srp_Xyle.fast._AE009442,0.26,20.00,56.66,3.61
srp_Carb.hydr._CP000141,0.07,0.00,0.00,0.07
srp_Lact.sali._CP000233,0.07,0.00,0.00,0.07
srp_Shig.flex._CP000266,0.07,0.00,0.00,0.07
srp_Dein.radi._AE002056,-0.36,40.62,58.81,62.70
srp_Nitr.wino._CP000115,-0.52,0.26,0.00,0.26
srp_Zymo.mobi._AE008692,-0.80,29.69,45.58,42.68
srp_Haem.infl._BD426631,-0.83,11.02,21.85,10.37
srp_Stre.suis._CP000407,-0.93,5.00,5.04,9.03
srp_Stre.suis._CP000408,-0.93,5.00,5.04,9.03
srp_Myco.capr._D00560,-0.96,3.00,4.47,3.57
srp_Myco.pulm._U06833,-0.96,3.00,4.47,3.57
srp_Stre.sang._CP000387,-1.06,6.04,6.27,10.81
srp_Myco.pneu._AE000044,-1.09,3.00,3.02,4.89
srp_Myco.pneu._U00089,-1.09,3.00,3.02,4.89
srp_Wolb.endo._AB080664,-1.26,2.04,2.07,2.79
srp_Brev.brev._D12926,-1.30,9.99,17.33,11.34
srp_Fran.tula._AM286280,-1.55,3.02,3.01,4.51
srp_Myco.spec._CP000384,-1.80,19.40,24.21,32.19
srp_Myco.pulm._AL445565,-1.96,4.00,4.00,6.04
srp_Anab.vari._CP000117,-2.18,19.89,39.84,17.64
srp_Pseu.aeru._X12644,-2.19,16.72,44.00,3.98
srp_Clos.acet._AE007525,-2.91,23.94,62.59,6.31
srp_Burk.spec._CP000151,-3.13,9.77,18.75,7.43
srp_Leis.trop._AY722722,-3.26,23.00,41.51,24.23
srp_Leis.trop._AY722723,-3.26,23.00,41.51,24.23
srp_Leis.trop._AY781789,-3.26,23.00,41.51,24.23
srp_Caul.cres._AE005673,-3.31,30.15,42.96,44.19
srp_Cory.jeik._CR931997,-3.33,23.75,34.98,32.93
srp_Bifi.long._AE014295,-3.35,9.75,13.67,12.24
srp_Cory.diph._BX248354,-3.35,9.75,13.67,12.24
srp_Fuso.nucl._AE009951,-3.36,11.00,17.59,12.05
srp_Pseu.puti._CP000712,-3.64,3.08,2.11,3.50
srp_Pseu.syri._AE016853,-3.67,3.06,2.00,3.50
srp_Stre.ther._CP000024,-3.71,5.04,5.04,6.38
srp_Stre.pyog._AE009969,-3.72,5.00,5.00,6.28
srp_Stre.pneu._AE005672,-3.92,5.10,5.00,6.38
srp_Stre.pneu._AE008386,-3.92,5.10,5.00,6.38
srp_Stre.pneu._CP000410,-3.92,5.10,5.00,6.38
srp_Psyc.arct._CP000082,-4.30,22.97,37.91,26.70
srp_Cyan.mero._AB002583,-4.39,5.11,5.12,5.82
srp_Guil.thet._AF041468,-4.42,10.28,14.00,12.41
srp_Stre.pyog._AE004092,-4.62,6.00,6.00,7.38
srp_Stre.pyog._CP000259,-4.62,6.00,6.00,7.38
srp_Stre.pyog._CP000260,-4.62,6.00,6.00,7.38
srp_Stre.pyog._CP000261,-4.62,6.00,6.00,7.38
srp_Myco.gall._AE016968,-4.73,4.27,2.00,6.08
srp_Myco.capr._S67588,-4.77,6.00,6.00,7.23
srp_Rick.prow._AJ235273,-4.83,10.87,16.29,11.50
srp_Esch.coli._AE016756,-4.95,11.60,25.57,4.28
srp_Esch.coli._X01074,-4.95,11.60,25.57,4.28
srp_Phot.lumi._BX571872,-4.95,11.60,25.57,4.28
srp_Salm.ente._AL627266,-4.95,11.60,25.57,4.28
srp_Wigg.glos._BA000021,-4.95,11.60,25.57,4.28
srp_Stre.muta._AE014133,-5.05,11.23,13.98,14.65
srp_Stre.muta._AF132127,-5.05,11.23,13.98,14.65
srp_Trep.pall._AE001187,-5.35,32.00,57.45,33.20
srp_Stre.livi._AY081854,-5.49,15.40,38.02,2.70
srp_Bifi.adol._AP009256,-6.08,10.41,12.94,12.21
srp_Buch.aphi._AE013218,-6.25,11.00,11.01,15.74
srp_Camp.jeju._CP000768,-6.39,16.14,31.83,10.18
srp_Stre.agal._AE014209,-6.39,6.00,6.00,5.61
srp_Stre.agal._AL766845,-6.39,6.00,6.00,5.61
srp_Stre.agal._CP000114,-6.39,6.00,6.00,5.61
srp_Stre.pneu._AE007319,-6.72,6.07,5.00,6.47
srp_Sino.medi._CP000738,-7.78,4.53,0.00,5.81
srp_Myco.myco._X53678,-7.94,8.71,2.05,16.16
srp_Novo.arom._CP000248,-8.16,3.48,0.00,2.29
srp_Rhiz.legu._AM236080,-8.16,3.48,0.00,2.29
srp_Rhod.spha._CP000143,-8.16,3.48,0.00,2.29
srp_Rhod.spha._CP000661,-8.16,3.48,0.00,2.29
srp_Heli.pylo._AE001439,-8.65,10.00,10.00,11.36
srp_Vibr.para._BA000031,-8.68,9.00,9.00,9.32
srp_Bruc.meli._AE009624,-8.69,34.99,61.37,34.90
srp_Yers.pseu._CP000720,-8.97,15.47,16.16,21.27
srp_Lact.plan._AL935253,-9.32,10.64,10.28,12.31
srp_Psyc.cryo._CP000323,-9.50,17.83,25.46,18.53
srp_Syne.elon._AP008231,-9.68,9.22,9.02,8.95
srp_Myco.hyop._AE017243,-10.26,10.50,10.68,10.57
srp_Cyan.mero._AY286123,-10.72,11.00,11.00,11.28
srp_Caul.cres._U22036,-11.10,36.84,48.77,50.65
srp_Myco.capr._CP000123,-11.22,11.00,11.00,10.78
srp_Shew.spec._CP000469,-11.44,21.01,33.30,18.29
srp_Lact.brev._CP000416,-11.89,10.38,7.00,12.25
srp_Clos.teta._AE015936,-12.18,7.94,5.00,6.63
srp_Burk.mall._CP000010,-13.10,33.48,45.93,41.41
srp_Burk.mall._CP000546,-13.10,33.48,45.93,41.41
srp_Burk.pseu._CP000124,-13.10,33.48,45.93,41.41
srp_Burk.pseu._CP000572,-13.10,33.48,45.93,41.41
srp_Burk.pseu._CP000570,-13.39,35.26,45.91,46.48
srp_Fran.tula._AM233362,-13.75,15.29,12.05,20.07
srp_Yers.pseu._BX936398,-13.77,13.00,12.00,13.23
srp_Psyc.sp.._CP000713,-13.94,19.50,28.82,15.74
srp_Stap.epid._AE016751,-14.12,17.00,21.48,15.39
srp_Stap.epid._AF269814,-14.12,17.00,21.48,15.39
srp_Stap.epid._AF269831,-14.12,17.00,21.48,15.39
srp_Stap.epid._CP000029,-14.12,17.00,21.48,15.39
srp_Myco.aviu._AE017228,-14.25,25.80,27.95,35.20
srp_Porp.purp._U38804,-14.37,12.80,11.05,12.99
srp_Aqui.aeol._AE000657,-14.48,23.49,35.88,20.12
srp_Myco.pene._BA000026,-14.48,23.49,35.88,20.12
srp_Brad.spec._CU234118,-14.85,34.62,50.76,38.24
srp_Bruc.meli._AM040264,-14.85,34.62,50.76,38.24
srp_Bruc.suis._AE014291,-14.88,34.98,51.70,38.38
srp_Odon.sine._Z67753,-15.10,13.67,12.11,13.78
srp_Agro.tume._AE007951,-15.47,39.83,56.93,47.08
srp_Wolb.endo._AE017321,-15.47,39.83,56.93,47.08
srp_Caul.cres._AE005700,-15.60,36.33,43.74,49.65
srp_Myco.aviu._CP000479,-15.97,30.75,32.88,43.39
srp_Thal.pseu._GSP-296543,-16.10,17.00,17.00,17.90
srp_Heli.pylo._CP000241,-16.10,30.11,58.53,15.69
srp_Caul.cres._U49738,-16.26,25.78,34.22,26.87
srp_Shig.flex._AE005674,-16.89,27.39,22.89,42.39
srp_Bloc.flor._BX248583,-17.09,38.94,66.45,33.28
srp_Dein.radi._AE000513,-17.16,35.61,54.66,35.01
srp_Stap.haem._AP006716,-17.25,17.19,17.00,17.32
srp_Stre.aver._BA000030,-17.32,26.33,34.30,27.37
srp_Leis.dono._AY722733,-17.36,39.33,79.66,20.96
srp_Leis.dono._AY722734,-17.36,39.33,79.66,20.96
srp_Leis.dono._AY722735,-17.36,39.33,79.66,20.96
srp_Leis.dono._AY781793,-17.36,39.33,79.66,20.96
srp_Leis.dono._AY781794,-17.36,39.33,79.66,20.96
srp_Leis.dono._AY781795,-17.36,39.33,79.66,20.96
srp_Leis.infa._AY781792,-17.36,39.33,79.66,20.96
srp_Idio.loih._AE017340,-17.44,8.18,3.00,4.08
srp_Tric.eryt._CP000393,-17.80,6.36,0.12,1.16
srp_Bruc.ovis._CP000708,-17.92,33.06,46.48,34.78
srp_Rhiz.etli._CP000133,-17.92,33.06,46.48,34.78
srp_Haem.somn._CP000436,-19.19,19.00,19.01,18.80
srp_Halo.halo._CP000544,-19.19,19.00,19.01,18.80
srp_Haem.infl._CP000057,-20.03,12.36,13.01,4.03
srp_Lact.gass._CP000413,-20.16,29.10,41.33,25.82
srp_Meso.loti._BA000012,-20.33,35.21,51.05,34.25
srp_Fran.spec._CP000249,-20.48,28.01,27.37,36.17
srp_Leif.xyli._AE016822,-20.48,28.01,27.37,36.17
srp_Micr.lyso._M31831,-20.48,28.01,27.37,36.17
srp_Myco.aviu._AE016958,-20.48,28.01,27.37,36.17
srp_Lact.john._AX926712,-20.59,28.56,42.64,22.45
srp_Ther.mela._CP000716,-20.73,6.93,0.00,0.07
srp_Coxi.burn._AE016828,-21.08,26.26,28.99,28.72
srp_Magn.magn._AP007255,-22.05,17.35,13.75,16.24
srp_Myco.spec._CP000518,-22.35,24.00,24.00,25.65
srp_Cory.glut._BA000036,-22.48,23.45,23.50,24.37
srp_Neis.gono._DD110233,-22.54,20.25,33.65,4.55
srp_Sphi.alas._CP000356,-22.54,20.25,33.65,4.55
srp_Cory.glut._AP009044,-22.76,22.99,22.53,23.68
srp_Ferv.nodo._CP000771,-22.93,7.67,0.00,0.07
srp_Brad.japo._BA000040,-22.94,7.67,0.00,0.07
srp_Brad.spec._CP000494,-22.94,7.67,0.00,0.07
srp_Bruc.abor._AE017223,-22.94,7.67,0.00,0.07
srp_Para.deni._CP000489,-22.94,7.67,0.00,0.07
srp_Sino.meli._AL591782,-22.94,7.67,0.00,0.07
srp_Gynu.aura._SDB-109565,-23.41,24.92,26.56,24.80
srp_Para.bras._EH655308,-23.64,41.57,52.76,48.33
srp_Nost.spec._BA000019,-23.72,33.38,49.35,27.06
srp_Haem.infl._L42023,-23.82,15.00,9.22,11.96
srp_Lact.lact._AM406671,-24.27,15.00,8.11,12.62
srp_Lact.lact._CP000425,-24.27,15.00,8.11,12.62
srp_Vibr.vuln._BA000037,-24.31,30.40,45.62,21.27
srp_Synt.wolf._CP000448,-24.65,26.46,26.99,27.74
srp_Proc.mari._BX572096,-24.73,36.50,47.61,37.15
srp_Xant.camp._AM039952,-24.84,46.31,57.43,56.66
srp_Prun.arme._CB819242,-24.88,29.77,31.39,33.03
srp_Prun.arme._CV045835,-24.88,29.77,31.39,33.03
srp_Chro.sale._CP000285,-25.13,28.30,46.18,13.60
srp_Dein.geot._CP000359,-25.18,15.00,9.13,10.68
srp_Meso.viri._AF166114,-25.20,36.00,48.77,34.03
srp_Neis.meni._AL157959,-25.35,21.62,35.56,3.96
srp_Azoa.spec._AM406670,-25.45,15.19,9.04,11.06
srp_Yers.pest._AE009952,-26.13,30.78,43.90,22.30
srp_Yers.pest._AE017042,-26.13,30.78,43.90,22.30
srp_Yers.pest._AJ414155,-26.13,30.78,43.90,22.30
srp_Yers.pest._AL590842,-26.13,30.78,43.90,22.30
srp_Lact.john._AE017198,-26.24,30.48,37.60,27.59
srp_Proc.mari._AE017126,-26.32,26.00,26.00,25.68
srp_Syne.spec._CP000097,-26.42,14.24,12.91,3.40
srp_Myco.bovi._BX248347,-26.46,23.04,15.29,27.37
srp_Bord.aviu._AM167904,-26.59,37.81,51.59,35.24
srp_Syne.spec._BA000022,-26.61,28.52,29.59,29.36
srp_Pseu.syri._CP000075,-26.70,27.57,48.03,7.98
srp_Chla.muri._AE002321,-26.79,34.25,37.89,38.06
srp_Moor.ther._CP000232,-26.85,27.63,29.46,26.59
srp_Agro.tume._AE008984,-27.29,36.21,42.74,38.61
srp_Myco.hyop._AE017332,-27.79,25.47,25.46,23.15
srp_Proc.mari._CP000552,-28.52,30.31,13.42,49.00
srp_Bdel.bact._BX842656,-28.85,25.00,23.53,22.62
srp_Fran.tula._AJ749949,-28.98,22.72,12.00,27.17
srp_Geob.meta._CP000148,-29.30,33.09,38.06,31.90
srp_Geob.sulf._AE017180,-29.30,33.09,38.06,31.90
srp_Anap.marg._CP000030,-29.42,46.07,55.98,52.80
srp_Camp.jeju._CP000538,-29.50,21.83,17.35,18.64
srp_Rick.typh._AE017197,-29.82,31.74,34.92,30.49
srp_Stre.pyog._AE014139,-29.84,24.10,30.61,11.87
srp_Stre.pyog._BA000034,-29.84,24.10,30.61,11.87
srp_Chro.viol._AE016918,-30.15,26.69,44.75,5.18
srp_Desu.vulg._CP000527,-30.16,36.66,45.09,34.72
srp_Para.bras._CN238860,-30.31,46.63,60.74,48.86
srp_Para.bras._CN239248,-30.31,46.63,60.74,48.86
srp_Para.bras._CN240152,-30.31,46.63,60.74,48.86
srp_Para.bras._CN240538,-30.31,46.63,60.74,48.86
