All entries:
header		length	d_nat_sub	d_nat_tend	d_nat_tend_rev	d_sub_tend	d_sub_tend_rev
SRP_00001	117		9.73		5.43		38.71			6.46		40.07
SRP_00004	103		40.95		42.23		40.84			8.87		20.17
SRP_00005	90		13.75		21.80		15.73			14.40		5.70
SRP_00007	155		19.66		75.16		56.12			72.02		47.45
SRP_00008	77		20.12		19.72		23.04			5.89		3.47
SRP_00020	106		8.49		9.53		60.61			8.71		61.13
SRP_00023	205		86.17		84.12		82.96			27.03		37.39
SRP_00038	101		51.43		50.07		57.08			28.36		29.25
SRP_00039	101		41.98		10.40		18.59			42.97		45.09
SRP_00040	106		25.14		27.34		30.17			9.41		19.33
SRP_00042	90		29.37		28.55		31.99			13.03		9.38
SRP_00043	101		36.27		37.00		37.00			2.50		2.50
SRP_00044	111		15.37		55.44		50.84			55.93		51.39
SRP_00045	155		31.08		29.01		33.29			3.88		8.42
SRP_00046	98		7.02		3.03		3.00			5.37		5.35
SRP_00047	111		15.37		55.44		50.84			55.93		51.39
SRP_00048	111		15.37		55.44		50.84			55.93		51.39
SRP_00051	105		42.25		51.06		47.52			33.46		41.06
SRP_00054	106		39.24		42.22		46.55			21.51		25.37
SRP_00055	106		39.24		42.22		46.55			21.51		25.37
SRP_00056	114		18.72		12.00		12.10			8.60		8.69
SRP_00057	113		25.24		19.00		19.16			7.85		8.08
SRP_00058	108		11.32		34.72		64.63			31.41		68.20
SRP_00059	108		11.32		34.72		64.63			31.41		68.20
SRP_00067	108		28.70		16.94		16.94			27.49		27.49
SRP_00072	113		42.38		40.95		44.42			10.35		20.85
SRP_00074	115		50.46		55.00		58.31			12.00		32.47
SRP_00075	106		32.56		49.10		32.85			24.28		5.78
SRP_00077	116		25.24		43.15		45.15			39.56		41.39
SRP_00078	116		25.24		43.15		45.15			39.56		41.39
SRP_00081	106		22.61		21.01		36.45			1.99		26.38
SRP_00082	106		32.10		32.58		33.40			7.55		8.47
SRP_00083	99		10.38		6.93		9.30			8.17		10.14
SRP_00084	105		8.97		9.40		13.31			5.59		9.74
SRP_00094	91		13.81		8.84		18.53			7.33		16.59
SRP_00095	90		12.76		8.50		37.08			5.28		32.17
SRP_00096	89		12.76		8.50		8.17			5.28		4.97
SRP_00098	114		24.02		51.07		36.49			48.82		28.30
SRP_00101	85		13.92		14.00		14.00			1.57		1.57
SRP_00105	106		34.55		42.19		53.71			26.16		37.00
SRP_00106	103		24.01		23.62		23.63			3.69		3.69
SRP_00107	86		41.92		43.05		42.96			20.58		15.69
SRP_00119	162		22.34		74.09		43.04			66.88		33.16
SRP_00121	93		11.61		12.94		42.83			4.52		42.46
SRP_00128	117		20.64		19.00		18.00			3.23		3.16
SRP_00129	114		6.33		23.62		4.00			25.08		3.13
SRP_00132	99		23.05		24.00		26.23			1.24		5.34
SRP_00134	110		37.87		37.31		48.88			24.92		45.50
SRP_00135	170		72.95		93.33		94.96			97.28		80.35
SRP_00137	92		16.82		18.63		17.00			4.06		2.41
SRP_00138	90		8.58		6.83		6.18			3.83		3.18
SRP_00139	66		25.80		25.92		27.56			7.89		8.69
SRP_00140	131		17.32		12.99		15.78			4.87		5.16
SRP_00141	113		10.86		9.08		8.02			7.10		7.04
SRP_00145	113		4.41		3.00		4.00			1.70		1.72
SRP_00146	103		6.52		14.25		5.02			11.90		1.73
SRP_00147	99		6.52		24.57		5.01			22.65		1.72
